time,power ratio,temperature
0.542,0.0,28.91
1.042,0.0,27.89
1.542,0.0,28.66
2.042,0.0,28.91
2.542,0.0,28.4
3.042,1.0,29.66
3.542,1.0,29.41
4.042,1.0,29.16
4.542,1.0,28.15
5.042,1.0,28.66
5.542,1.0,28.15
6.042,1.0,28.91
6.542,1.0,28.66
7.042,1.0,28.15
7.542,1.0,27.89
8.042,1.0,28.66
8.542,1.0,28.91
9.042,1.0,28.66
9.542,1.0,28.4
10.042,1.0,28.4
10.542,1.0,28.66
11.042,1.0,29.16
11.542,1.0,28.91
12.042,1.0,29.16
12.542,1.0,28.91
13.042,1.0,28.15
13.542,1.0,29.16
14.042,1.0,29.41
14.542,1.0,29.16
15.042,1.0,29.41
15.542,1.0,27.89
16.043,1.0,28.91
16.543,1.0,28.91
17.043,1.0,28.66
17.543,1.0,29.66
18.043,1.0,28.66
18.543,1.0,28.66
19.043,1.0,28.91
19.543,1.0,29.16
20.043,1.0,28.4
20.543,1.0,29.16
21.043,1.0,28.66
21.543,1.0,29.41
22.043,1.0,30.15
22.543,1.0,30.87
23.043,1.0,30.39
23.543,1.0,29.66
24.043,1.0,30.63
24.543,1.0,29.9
25.043,1.0,31.81
25.543,1.0,30.15
26.043,1.0,31.34
26.543,1.0,32.04
27.043,1.0,32.5
27.543,1.0,30.87
28.043,1.0,31.1
28.544,1.0,32.5
29.044,1.0,31.81
29.544,1.0,32.27
30.044,1.0,32.73
30.544,1.0,33.4
31.044,1.0,32.04
31.544,1.0,33.4
32.044,1.0,33.62
32.544,1.0,32.73
33.044,1.0,33.85
33.544,1.0,33.62
34.044,1.0,34.07
34.544,1.0,33.62
35.044,1.0,33.62
35.544,1.0,34.28
36.044,1.0,34.5
36.544,1.0,35.15
37.044,1.0,34.28
37.544,1.0,35.15
38.044,1.0,36.41
38.544,1.0,35.15
39.044,1.0,35.36
39.544,1.0,36.2
40.044,1.0,36.82
40.544,1.0,36.41
41.044,1.0,36.61
41.544,1.0,38.03
42.044,1.0,37.63
42.544,1.0,37.43
43.044,1.0,36.82
43.544,1.0,38.03
44.044,1.0,37.83
44.544,1.0,38.03
45.044,1.0,38.23
45.544,1.0,38.43
46.044,1.0,38.63
46.544,1.0,38.23
47.044,1.0,39.21
47.544,1.0,39.79
48.044,1.0,39.41
48.544,1.0,39.6
49.044,1.0,39.6
49.544,1.0,39.6
50.044,1.0,39.98
50.544,1.0,39.79
51.044,1.0,40.36
51.544,1.0,39.79
52.044,1.0,40.55
52.544,1.0,40.17
53.044,1.0,41.67
53.544,1.0,40.74
54.044,1.0,41.48
54.544,1.0,41.3
55.044,1.0,41.48
55.544,1.0,41.67
56.044,1.0,42.22
56.544,1.0,41.67
57.044,1.0,42.03
57.544,1.0,41.67
58.044,1.0,42.76
58.544,1.0,42.58
59.044,1.0,43.12
59.544,1.0,42.76
60.044,1.0,42.22
60.544,1.0,42.58
61.044,1.0,43.3
61.544,1.0,43.3
62.044,1.0,43.83
62.544,1.0,43.12
63.044,1.0,44.35
63.544,1.0,43.83
64.044,1.0,44.35
64.544,1.0,44.35
65.044,1.0,45.05
65.544,1.0,44.87
66.044,1.0,45.05
66.544,1.0,45.05
67.044,1.0,45.22
67.544,1.0,45.05
68.044,1.0,46.07
68.544,1.0,45.9
69.044,1.0,45.9
69.544,1.0,45.9
70.044,1.0,46.74
70.544,1.0,46.41
71.044,1.0,46.57
71.544,1.0,46.24
72.044,1.0,46.57
72.544,1.0,47.57
73.044,1.0,46.57
73.544,1.0,47.07
74.044,1.0,47.07
74.544,1.0,47.4
75.044,1.0,48.22
75.544,1.0,47.73
76.044,1.0,47.57
76.544,1.0,47.9
77.044,1.0,47.73
77.544,1.0,47.9
78.044,1.0,48.55
78.544,1.0,49.03
79.044,1.0,48.55
79.544,1.0,48.55
80.044,1.0,49.35
80.544,1.0,49.67
81.044,1.0,49.35
81.544,1.0,48.71
82.044,1.0,49.98
82.544,1.0,49.19
83.044,1.0,49.19
83.544,1.0,49.82
84.044,1.0,49.82
84.544,1.0,50.14
85.044,1.0,49.67
85.544,1.0,49.98
86.044,1.0,50.45
86.544,1.0,50.14
87.044,1.0,50.45
87.544,1.0,51.23
88.044,1.0,51.23
88.544,1.0,51.23
89.044,1.0,51.39
89.544,1.0,51.39
90.044,1.0,51.85
90.544,1.0,52.0
91.044,1.0,51.85
91.544,1.0,52.16
92.044,1.0,52.31
92.544,1.0,52.16
93.044,1.0,52.61
93.544,1.0,53.22
94.044,1.0,53.67
94.544,1.0,53.22
95.044,1.0,53.07
95.544,1.0,53.52
96.044,1.0,53.52
96.544,1.0,54.41
97.044,1.0,54.56
97.544,1.0,54.41
98.044,1.0,54.56
98.544,1.0,54.7
99.044,1.0,55.0
99.544,1.0,55.29
100.044,1.0,54.85
100.544,1.0,55.44
101.044,1.0,55.14
101.544,1.0,56.45
102.044,1.0,55.87
102.544,1.0,56.16
103.044,1.0,56.16
103.544,1.0,56.45
104.044,1.0,56.59
