time,temperature
0.591,37.63
0.992,37.83
1.392,37.83
1.792,37.83
2.192,37.83
2.592,37.83
2.992,37.83
3.392,37.83
3.792,37.83
4.192,37.83
4.592,37.83
4.992,37.83
5.392,37.83
5.792,37.83
6.192,37.83
6.592,37.83
6.992,37.83
7.392,37.83
7.792,37.63
8.192,37.63
8.592,37.83
8.992,37.83
9.392,37.83
9.792,37.63
10.192,37.63
10.592,37.83
10.992,37.83
11.392,37.83
11.792,37.63
12.192,37.83
12.592,37.83
12.992,37.83
13.392,37.83
13.792,37.83
14.192,37.63
14.592,37.83
14.992,37.63
15.392,37.83
15.792,37.63
16.192,37.63
16.592,37.83
16.992,37.83
17.392,37.83
17.792,37.83
18.192,37.83
18.592,37.83
18.992,37.83
19.392,38.03
19.792,38.03
20.192,38.03
20.592,38.23
20.992,38.23
21.392,38.23
21.792,38.43
22.192,38.43
22.592,38.63
22.992,38.63
23.392,38.63
23.792,38.82
24.192,38.82
24.592,39.02
24.992,39.02
25.392,39.21
25.792,39.41
26.192,39.41
26.592,39.41
26.992,39.6
27.392,39.79
27.792,39.79
28.192,39.98
28.592,40.17
28.992,40.17
29.392,40.36
29.792,40.36
30.192,40.55
30.592,40.74
30.992,40.74
31.392,40.93
31.792,41.11
32.192,41.3
32.592,41.3
32.992,41.48
33.392,41.48
33.792,41.67
34.192,41.85
34.592,42.03
34.992,42.03
35.392,42.22
35.792,42.22
36.192,42.58
36.592,42.58
36.992,42.58
37.392,42.76
37.792,42.94
38.192,43.12
38.592,43.12
38.992,43.3
39.392,43.47
39.792,43.47
40.192,43.65
40.592,43.83
40.992,43.83
41.392,44.0
41.792,44.0
42.192,44.18
42.592,44.35
42.992,44.35
43.392,44.53
43.792,44.7
44.192,44.7
44.592,44.87
44.992,45.05
45.392,45.05
45.792,45.22
46.192,45.22
46.592,45.39
46.992,45.56
47.392,45.73
47.792,45.9
48.192,45.9
48.592,46.07
48.992,46.24
49.392,46.41
49.792,46.41
50.192,46.57
50.592,46.74
50.992,46.91
51.392,47.07
51.792,47.24
52.192,47.4
52.592,47.57
52.992,47.73
53.392,47.73
53.792,47.9
54.192,48.06
54.592,48.06
54.992,48.22
55.392,48.38
55.792,48.55
56.192,48.55
56.592,48.71
56.992,48.87
57.392,49.03
57.792,49.19
58.192,49.35
58.592,49.51
58.992,49.51
59.392,49.67
59.792,49.82
60.192,49.82
60.592,49.98
60.992,50.14
61.392,50.14
61.792,50.3
62.192,50.45
62.592,50.61
62.992,50.77
63.392,50.92
63.792,51.08
64.192,51.08
64.592,51.23
64.992,51.39
65.392,51.39
65.792,51.54
66.192,51.7
66.592,51.85
66.992,52.0
67.392,52.16
67.792,52.31
68.192,52.46
68.592,52.46
68.992,52.61
69.392,52.76
69.792,52.91
70.192,53.07
70.592,53.07
70.992,53.22
71.392,53.37
71.792,53.52
72.192,53.67
72.592,53.81
72.992,53.96
73.392,53.96
73.792,54.26
74.192,54.26
74.592,54.41
74.992,54.56
75.392,54.7
75.792,54.7
76.192,54.85
76.592,55.0
76.992,55.14
77.392,55.29
77.792,55.44
78.192,55.58
78.592,55.73
78.992,55.73
79.392,55.87
79.792,56.02
80.192,56.02
80.592,56.31
80.992,56.31
81.392,56.45
81.792,56.74
82.192,56.74
82.592,56.74
82.992,57.03
83.392,57.03
83.792,57.17
84.192,57.31
84.592,57.45
84.992,57.6
85.392,57.6
85.792,57.88
86.192,57.88
86.592,58.02
86.992,58.16
87.392,58.44
87.792,58.44
88.192,58.72
88.592,58.72
88.992,59.01
89.392,59.01
89.792,59.14
90.192,59.28
90.592,59.42
90.992,59.56
91.392,59.7
91.792,59.7
92.192,59.84
92.592,59.98
92.992,60.12
93.392,60.26
93.792,60.39
94.192,60.53
94.592,60.67
94.992,60.67
95.392,60.81
95.792,60.94
96.192,61.08
96.592,61.22
96.992,61.35
97.392,61.49
97.792,61.63
98.192,61.76
98.592,61.9
98.992,62.04
99.392,62.17
99.792,62.31
100.192,62.31
100.592,62.44
100.992,62.58
101.392,62.71
101.792,62.85
102.192,62.85
102.592,62.98
102.992,63.12
103.392,63.25
103.792,63.39
104.192,63.52
104.592,63.65
104.992,63.79
105.392,63.92
105.792,63.92
106.192,64.05
106.592,64.19
106.992,64.32
107.392,64.45
107.792,64.59
108.192,64.72
108.592,64.85
108.992,64.99
109.392,65.12
109.792,65.25
110.192,65.38
110.592,65.51
110.992,65.65
111.392,65.91
111.792,66.04
112.192,66.17
112.592,66.3
112.992,66.44
113.392,66.57
113.792,66.7
114.192,66.83
114.592,66.96
114.992,67.09
115.392,67.22
115.792,67.22
116.192,67.35
116.592,67.48
116.992,67.61
117.392,67.61
117.792,67.74
118.192,67.87
118.592,68.0
118.992,68.13
119.392,68.26
119.792,68.52
120.192,68.52
120.592,68.65
120.992,68.78
121.392,68.91
121.792,69.04
122.192,69.3
122.592,69.3
122.992,69.43
123.392,69.56
123.792,69.69
124.192,69.81
124.592,69.94
124.992,70.07
125.392,70.2
125.792,70.33
126.192,70.46
