time,temperature,temperature_filtered
0.591,37.63,37.74338226990399
0.992,37.83,37.764432523997726
1.392,37.83,37.783075574311255
1.792,37.83,37.79931142084459
2.192,37.83,37.813140063597714
2.592,37.83,37.824561502570646
2.992,37.83,37.83357573776337
3.392,37.83,37.8401827691759
3.792,37.83,37.84438259680822
4.192,37.83,37.84617522066034
4.592,37.83,37.845560640731705
4.992,37.83,37.82391958156204
5.392,37.83,37.81476626348424
5.792,37.83,37.8181006864983
6.192,37.83,37.816531546256385
6.592,37.83,37.79953252696904
6.992,37.83,37.785148741418205
7.392,37.83,37.773380189603884
7.792,37.63,37.775406995749684
8.192,37.63,37.76265773128418
8.592,37.83,37.75317750898931
8.992,37.83,37.746966328865085
9.392,37.83,37.74402419091151
9.792,37.63,37.74435109512857
10.192,37.63,37.75912716573988
10.592,37.83,37.759780974174014
10.992,37.83,37.77553775743651
11.392,37.83,37.77782608695596
11.792,37.63,37.79587119973792
12.192,37.83,37.794236678652595
12.592,37.83,37.7729225237
12.992,37.83,37.7673651520099
13.392,37.83,37.76638443935871
13.792,37.83,37.769980385746415
14.192,37.63,37.760107878391075
14.592,37.83,37.74729323308215
14.992,37.63,37.74892775416747
15.392,37.83,37.74265119319983
15.792,37.63,37.74585485452707
16.192,37.63,37.73983981693308
16.592,37.83,37.74134357633157
16.992,37.83,37.75592350441265
17.392,37.83,37.78227198430804
17.792,37.83,37.80790127492588
18.192,37.83,37.848895063745765
18.592,37.83,37.87406668845972
18.992,37.83,37.92741745668463
19.392,38.03,37.97710689767842
19.792,38.03,38.03847008826358
20.192,38.03,38.096188296828466
20.592,38.23,38.14637136319002
20.992,38.23,38.220565544294956
21.392,38.23,38.29307943772418
21.792,38.43,38.36536449820146
22.192,38.43,38.45030075187913
22.592,38.63,38.542723112127575
22.992,38.63,38.62684537430476
23.392,38.63,38.703403072899064
23.792,38.82,38.80117685518086
24.192,38.82,38.89261196469377
24.592,39.02,38.97785550833548
24.992,39.02,39.08509970578562
25.392,39.21,39.18620137299713
25.792,39.41,39.29134030728938
26.192,39.41,39.40097744360844
26.592,39.41,39.50352402745936
26.992,39.6,39.62661654135279
27.392,39.79,39.74155606407263
27.792,39.79,39.84790454396803
28.192,39.98,39.96031709708996
28.592,40.17,40.07720823798568
28.992,40.17,40.19845374305269
29.392,40.36,40.321072245831374
29.792,40.36,40.44354364171238
